Stink;Time;Hydrogen;Bombs
Coffee;Class;Check;Mates
Rough;Birdie;Cup;Golf
Flash;Credit;Library;Cards
Chicken;Gold;Pretzels;Nuggets
Ear;Erie;Panama;Canals
Shells;Elbows;Bowties;Pasta
Cherry;Palm;Family;Trees
London;Jeff;Brooklyn;Bridges
Forest;Kelly;Olive;Shades of Green
Bob;Tom;Alley;Cats
Mary Poppins;Jiminy Cricket;The Penguin;They Carry Umbrellas
Toilets;Eyes;Trash Cans;Lids
Dart;Stairwell;Airline;Flights
House;War;Finger;Paint
Mule;Clog;Pump;Shoes
Flag;North;Telephone;Poles
Beehive;Rooster;Barber Shop;Combs
Waitress;Iceberg;Tongue;Tips
Instant;Hidden;Candid;Cameras
Ripe;Dole;Chiquita Bananas
Rain;Petrified;Sherwood Forests
String;Wax;Lima;Beans
Primer;Concordance;Thesaurus Books
Cowboy;Combat;Go-Go Boots
Bugles;Funyuns;Cheet-tos Snacks (brand names)
Glenn;Henry;Harrison;Fords
Pump;Clog;Loafer;Shoes
Salsa;Rumba;Tango;Dances
Square;Level;Wrench;Tools
Water;Honeydew;Cantaloupe;Melons
Dirty;Little White;Bold-faced;Lies
Steel;Balance;Laser;Beams
Rembrandt;Mentadent;Colgate;Toothpaste
Canine;Tusk;Fang;Teeth
Panama;Beany;Bonnet;Hats
Pluto;Neptune;Zeus;Gods
Spitz;Pointer;Dalmatian;Dogs
Pierre;St. Paul;Nashville;Cities
Step;God;Grand;Parents
Sno-Caps;Whoppers;M&M’s;Candy
Sweet;Chick;Black-eyed;Peas
Diva;Balladeer;Vocalist;Singers
Sociables;Waverly;Wheat Thins;Crackers
Louis;Liston;Holyfield;Boxers
Water;Oil;Orson;Wells
Peanut;Corn;Motor;Oil
Passenger;Carrier;Homing;Pigeons
Zip;Tommy;Six Shooter;Guns
Shank;Scalpel;Switchblade;Knives
Bald;Flat;Spare;Tires
House;Harvestman;Tarantula;Spiders
Miniatures;Spears;Dills;Pickles
Amber;Jasper;Sapphire;Gems
Mountain;Pikes;Dante’s;Peaks
Arkansas;Colorado;Nile;Rivers
Shine;Speed;Sleepless in Seattle;Movies
Christmas;Sleigh;Jingle;Bells
Joy;Tern;Flamingo;Birds
Texas;French;Cinnamon;Toast
Omega;Fossil;Timex;Watches
Lincoln;Cleveland;Philladelphia;Cities
Black;Snack;Halogen;Lights
Hunt;Hayes;Mount Saint;Helens
Nets;Sticks;Pucks;Hockey
Dove;Charcoal;Battleship;Grays
Krait;Bushmaster;Water Moccasin;Snakes
Power;Spinal;Bungee;Cords
Colt;Carbine;Uzi;Guns
Doe;Buck;Fawn;Deer
Sun;Tints;Bifocals;Glasses
Contact;48 hours;Liar Liar;Movies
Can;John;Toilet;Bathrooms
Flat;Sales;Inheritance;Taxes
First;Financial;Hearing;Aids
Whopper;Tall Tale;Fib;Lies
Kite;Nutcracker;Sparrow;Birds
Prairie;Guard;Seeing eye;Dogs
Days;Comfort;Red Roof;Inns / motels
The Pig;Palmer;Schwarzenegger;Arnolds
Tangled;Spider;Word Wide;Webs
Eye;Kidney;Lung;Organs
Carol;Melody;Lullaby;Songs
